Species;BirdLife_Species;AvibaseID_BirdLife;eBird_Species;AvibaseID_eBird;BirdTree_Species;IUCN_Species;ID_IUCN;URL_IUCN;IUCN_Status
Gymnopithys rufigula;Gymnopithys rufigula;AVIBASE-2AE442D9;Gymnopithys rufigula;AVIBASE-2AE442D9;Gymnopithys rufigula;Gymnopithys rufigula;22701869;https://www.iucnredlist.org/details/22701869/0;LC
Habia fuscicauda;Habia fuscicauda;AVIBASE-8DD1FA55;Habia fuscicauda;AVIBASE-8DD1FA55;Habia fuscicauda;Habia fuscicauda;22722416;https://www.iucnredlist.org/details/22722416/0;LC
Harpactes diardii;Harpactes diardii;AVIBASE-ECF71AC7;Harpactes diardii;AVIBASE-ECF71AC7;Harpactes diardii;Harpactes diardii;22682836;https://www.iucnredlist.org/details/22682836/0;NT
Harpactes duvaucelii;Harpactes duvaucelii;AVIBASE-80DFB0BE;Harpactes duvaucelii;AVIBASE-80DFB0BE;Harpactes duvaucelii;Harpactes duvaucelii;22682848;https://www.iucnredlist.org/details/22682848/0;NT
Harpactes kasumba;Harpactes kasumba;AVIBASE-D04AAF76;Harpactes kasumba;AVIBASE-D04AAF76;Harpactes kasumba;Harpactes kasumba;22682833;https://www.iucnredlist.org/details/22682833/0;NT
Harpagus bidentatus;Harpagus bidentatus;AVIBASE-E640A953;Harpagus bidentatus;AVIBASE-E640A953;Harpagus bidentatus;Harpagus bidentatus;22695060;https://www.iucnredlist.org/details/22695060/0;LC
Harpagus diodon;Harpagus diodon;AVIBASE-CE6511AB;Harpagus diodon;AVIBASE-CE6511AB;Harpagus diodon;Harpagus diodon;22695063;https://www.iucnredlist.org/details/22695063/0;LC
Harpia harpyja;Harpia harpyja;AVIBASE-4D324C9C;Harpia harpyja;AVIBASE-4D324C9C;Harpia harpyja;Harpia harpyja;22695998;https://www.iucnredlist.org/details/22695998/0;VU
Heliothryx auritus;Heliothryx auritus;AVIBASE-EFBDAE18;Heliothryx auritus;AVIBASE-EFBDAE18;Heliothryx auritus;Heliothryx auritus;22688111;https://www.iucnredlist.org/details/22688111/0;LC
Heliothryx barroti;Heliothryx barroti;AVIBASE-B70BC2CB;Heliothryx barroti;AVIBASE-B70BC2CB;Heliothryx barroti;Heliothryx barroti;22688108;https://www.iucnredlist.org/details/22688108/0;LC
